"Id","SWEETORSOUR"
1,0.2085
2,0.499333333333333
3,0.407666666666667
4,0.394
5,0.140333333333333
6,0.661
7,0.2945
8,0.427333333333333
9,0.2405
10,0.372
11,0.328666666666667
12,0.284666666666667
13,0.342
14,0.508928571428571
15,0.350833333333333
16,0.395
17,0.089
18,0.282809523809524
19,0.204166666666667
20,0.463833333333333
21,0.461666666666667
22,0.168833333333333
23,0.293166666666667
24,0.597
25,0.233833333333333
26,0.408333333333333
27,0.469666666666667
28,0.423166666666667
29,0.838166666666667
30,0.1285
31,0.653166666666667
32,0.231
33,0.19341341991342
34,0.392333333333333
35,0.628166666666667
36,0.316166666666667
37,0.540333333333333
38,0.3575
39,0.538642857142857
40,0.468547619047619
41,0.276833333333333
42,0.573833333333333
43,0.4205
44,0.3365
45,0.503642857142857
46,0.340095238095238
47,0.3655
48,0.469833333333333
49,0.239333333333333
50,0.384095238095238
51,0.362833333333333
52,0.391833333333333
53,0.651333333333333
54,0.3865
55,0.377523809523809
56,0.425190476190476
57,0.524916666666667
58,0.229142857142857
59,0.399
60,0.474
61,0.426
62,0.342166666666667
63,0.2115
64,0.332166666666667
65,0.544166666666667
66,0.5375
67,0.33947619047619
68,0.462333333333333
